Neighborhood,land_bank_num_10,land_bank_num_11,land_bank_num_12,land_bank_num_13,land_bank_num_14,land_bank_num_15,land_bank_num_16,land_bank_num_17,vacant_num_17,vacant_num_16,vacant_num_15,vacant_num_14,vacant_num_13,vacant_num_12,vacant_num_11,vacant_num_10,pop_est_2017,pop_census_2010,pov_est_2017,pov_census_2010,unemp_est_17,unemp_census_10,viol_10,viol_11,viol_12,viol_13,viol_14,viol_15,viol_16,viol_17,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,forcl_17,forcl_16,forcl_15,forcl_14,forcl_13,forcl_12,forcl_11,forcl_10,sales_num_17,sales_num_16,sales_num_15,sales_num_14,sales_num_13,sales_num_12,sales_num_11,sales_num_10,med_price_17,med_price_16,med_price_15,med_price_14,med_price_13,med_price_12,med_price_11,med_price_10,homes_num_17,homes_num_16,homes_num_15,homes_num_14,homes_num_13,homes_num_12,homes_num_11,homes_num_10,med_val_17,med_val_16,med_val_15,med_val_14,med_val_13,med_val_12,med_val_11,med_val_10
 Broadway-Slavic Village,585,791,926,1052,1173,1348,1599,1723,654,717,757,878,832,797,844,905,19730.16,22431.54699,42.59,35.39,27.75,23.24,463,410,490,501,381,445,459,448,1684,1966,1842,1612,1455,1333,1516,1393,256,354,157,238,250,260,269,348,287,281,229,248,244,230,219,289,19900,14000,14137,15750,13350,12000,15000,11000,4639,4745,4857,4956,5055,5110,5169,5236,28000,27700,27400,26900,26700,26500,40000,40400
 Collinwood-Nottingham,392,471,540,615,665,748,818,844,250,265,273,303,290,281,299,320,11673.76,11542,38.95,32.66,20.33,17.36,199,212,207,266,242,195,218,250,806,805,901,780,697,601,714,693,137,115,104,110,128,154,174,211,134,116,90,92,95,82,76,91,21100,17200.5,16250,17700,15500,11500,11050,12000,2177,2197,2222,2238,2275,2314,2335,2389,32500,32800,32800,37700,37800,37700,49300,49800
 Glenville,963,1178,1328,1457,1563,1752,1928,2006,686,678,751,842,760,746,797,897,27701.18,27267.81542,37.55,35.05,24.76,24.95,527,501,551,555,526,524,608,540,1624,1636,1592,1565,1486,1313,1403,1278,335,397,332,144,210,290,342,401,240,266,243,219,187,165,167,248,16250,14475,16400,16000,12000,13000,10000,6500,5326,5460,5572,5603,5668,5702,5762,5815,22700,22600,22400,24500,24400,24300,49200,49500
 Mount Pleasant,278,341,402,478,552,676,787,867,275,260,269,329,300,243,268,240,16760.44,17320,31.55,30.13,23.84,21.08,290,280,320,283,304,292,279,339,1030,1134,976,979,925,841,787,787,219,286,217,151,134,231,193,241,188,170,159,126,110,104,115,116,22100,13750,15000,13925,15050,10000,9000,9000,3115,3181,3273,3314,3348,3399,3419,3455,32300,32200,32200,32700,32700,32600,54300,54200
 Union-Miles,650,752,858,923,979,1086,1225,1253,362,397,427,465,422,418,474,498,19968.57,19004,34,30.54,29.08,21.72,359,338,358,384,316,337,363,320,1218,1179,1123,1167,1070,1014,926,889,163,248,207,120,140,305,249,345,296,322,236,209,209,165,201,190,19000,14250,15000,15000,11000,10000,10000,9516,5400,5457,5513,5537,5604,5669,5709,5755,28100,27900,27700,32400,32400,32100,51300,51600
 Brooklyn Centre,45,47,54,53,63,72,81,83,102,119,117,119,120,106,104,102,9081.33,8954.061617,37.15,29.35,19.94,16.24,133,158,150,171,179,181,180,107,470,509,475,503,475,416,398,399,50,45,47,40,70,69,77,67,92,85,70,69,60,56,51,48,26250,22000,25900,21600,17750,14100,18900,20000,1520,1521,1531,1535,1540,1537,1536,1546,42300,42300,42400,44700,44850,44900,51300,51500
 Goodrich-Kirtland Pk,54,54,57,60,61,63,67,73,110,132,130,125,126,127,127,123,3873,4238,43.14,32.41,16.45,17.95,79,85,108,87,110,98,94,120,436,459,440,374,375,299,361,394,11,6,5,13,7,8,9,6,17,6,7,11,10,10,7,5,28000,18400,21000,20000,15850,24250,22750,26400,321,321,324,330,328,331,332,335,19700,19700,19700,19000,19000,19000,28200,28200
 Jefferson,20,22,27,35,43,55,54,54,149,135,130,139,137,136,135,130,16217.57,16548,21.72,19.61,11.7,12.88,145,131,158,137,150,150,166,156,777,893,945,1083,1001,824,829,780,109,112,109,112,165,194,192,229,300,215,235,196,192,166,187,189,56000,46250,41900,35000,30750,29942.5,27000,36000,5676,5679,5686,5680,5676,5686,5690,5715,58100,58200,58300,61600,61800,61900,74800,74800
 Ohio City,85,97,108,102,106,115,113,104,291,290,304,320,330,320,328,338,9066.79,8735.969203,43.35,39.28,16.36,16.66,156,183,168,187,151,137,146,130,617,742,848,646,528,599,684,707,15,16,20,23,24,24,34,38,74,73,68,60,65,33,53,42,123375,107000,119855,142000,70500,92000,124900,128000,1016,995,983,973,970,967,960,959,56250,56400,51900,41700,40750,39900,39800,39900
 Tremont,108,111,120,119,124,132,141,142,315,422,432,468,480,488,501,497,7849.97,7947.69444,41.03,37.92,10.72,10.74,77,88,71,87,80,75,75,58,527,527,526,476,409,338,434,338,16,14,18,24,23,23,35,36,85,61,58,65,63,58,39,35,165000,140000,120000,100000,130000,112000,53680,80000,1058,1043,1036,1024,1008,1013,1002,995,49000,48600,48100,39300,39300,39200,36850,36900
