County,Neighborhood,"Total population, number, 2012 5-yr est (ACS 2012 5-year)","Total population, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Total population (100 percent count ), number,  2010 (Census 2010)","Poverty rate, 2012 5-yr est (ACS 2012 5-year)","Poverty rate, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Poverty rate, 2010 5-yr est (ACS 2010 5-year)","Poverty rate, 2010 5-yr est (ACS 2010 5-year), Margin of Error","Unemployment rate, 2012 5-yr est (ACS 2012 5-year)","Unemployment rate, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Unemployment rate, 2010 5-yr est (ACS 2010 5-year)","Unemployment rate, 2010 5-yr est (ACS 2010 5-year), Margin of Error","Total violent crimes, number, 2010 (Crime)","Total violent crimes, number, 2011 (Crime)","Total violent crimes, number, 2012 (Crime)","Total violent crimes, number, 2013 (Crime)","Total violent crimes, number, 2014 (Crime)","Total violent crimes, number, 2015 (Crime)","Total violent crimes, number, 2016 (Crime)","Total violent crimes, number, 2017 (Crime)","Total property crimes, number, 2010 (Crime)","Total property crimes, number, 2011 (Crime)","Total property crimes, number, 2012 (Crime)","Total property crimes, number, 2013 (Crime)","Total property crimes, number, 2014 (Crime)","Total property crimes, number, 2015 (Crime)","Total property crimes, number, 2016 (Crime)","Total property crimes, number, 2017 (Crime)"
Cuyahoga, Bellaire-Puritas,14458,925.21,13365,24.63,4.55,21.42,3.64,16.65,3.45,16.52,8.24,116,91,91,81,102,83,113,96,593,618,591,632,526,514,575,486
Cuyahoga, Broadway-Slavic Village,19730.16,1241.41,22431.54699,42.59,5.02,35.39,4.22,27.75,3.6,23.24,6.65,463,410,490,501,381,445,459,448,1684,1966,1842,1612,1455,1333,1516,1393
Cuyahoga, Brooklyn Centre,9081.33,873.55,8954.061617,37.15,6.18,29.35,6.28,19.94,4.19,16.24,12.22,133,158,150,171,179,181,180,107,470,509,475,503,475,416,398,399
Cuyahoga, Buckeye-Shaker Square,12351,704.56,12470,30.19,4,28.62,4.7,12.73,3.01,14.3,7.72,132,154,163,168,141,183,185,174,571,787,722,648,708,548,571,509
Cuyahoga, Buckeye-Woodhill,7444.84,685.26,6656.910132,54.37,8.84,51.49,10.13,32.82,6.58,30.7,13.91,138,114,152,150,153,159,150,141,431,562,542,503,421,428,375,340
Cuyahoga, Central,11576,796.91,12306,71.47,5.02,69.75,7.92,39.33,5.28,35.76,15.35,350,390,353,352,351,316,347,273,815,892,836,719,795,616,615,605
Cuyahoga, Clark-Fulton,7865.78,825.57,8547.84297,46.88,8.22,37.8,8.14,21.73,5,17.39,14.41,142,183,164,152,170,140,165,144,571,561,548,551,500,425,618,494
Cuyahoga, Collinwood-Nottingham,11673.76,940.28,11542,38.95,6.16,32.66,6.07,20.33,3.98,17.36,10.04,199,212,207,266,242,195,218,250,806,805,901,780,697,601,714,693
Cuyahoga, Cudell,8905.36,807.26,9288,44.18,6.81,39.25,7.06,24.99,4.81,19.78,11.6,174,135,133,185,176,176,173,164,508,598,536,516,553,380,477,408
Cuyahoga, Cuyahoga Valley,1067.68,205.6,968.696957,41.18,24.69,27.42,59.71,28.76,22.47,32.99,167.96,16,23,16,13,15,19,17,13,143,140,124,109,111,81,101,69
Cuyahoga, Detroit Shoreway,11071.56,834.67,11567.0308,41.81,5.83,42.85,6.24,18.8,4.38,19.53,11.07,235,215,259,248,208,211,201,208,695,770,787,701,662,679,710,671
Cuyahoga, Downtown,8752.13,613.8,9464,29.14,5.13,24.29,4.91,12.3,3.65,12.04,11.38,219,245,213,252,216,224,288,234,1200,1247,1242,1120,1022,1070,1236,1078
Cuyahoga, Edgewater,6281,443.09,5850,24.58,5.52,21.44,5.79,10.54,4.35,11.65,11.29,49,57,59,76,52,46,68,62,272,325,319,309,261,228,233,231
Cuyahoga, Euclid-Green,5453,511.95,5533,27.53,6.78,27.76,8.91,19.36,5.36,11.34,13.11,69,66,65,62,65,57,80,74,217,290,261,237,241,199,278,271
Cuyahoga, Fairfax,6077.92,661.61,6239,36.93,6.24,38.36,7.77,27.89,5.38,24.34,17.61,163,176,177,184,165,160,206,198,507,503,418,461,439,365,397,345
Cuyahoga, Glenville,27701.18,1304.31,27267.81542,37.55,4,35.05,4.05,24.76,2.72,24.95,5.45,527,501,551,555,526,524,608,540,1624,1636,1592,1565,1486,1313,1403,1278
Cuyahoga, Goodrich-Kirtland Pk,3873,396.24,4238,43.14,8.04,32.41,8.93,16.45,4.94,17.95,16.89,79,85,108,87,110,98,94,120,436,459,440,374,375,299,361,394
Cuyahoga, Hopkins,308.12,140.58,282.8221807,20.49,37.25,18.38,63.46,14.27,32.18,15.3,300.47,6,4,4,3,3,8,4,8,98,113,111,113,109,126,131,152
Cuyahoga, Hough,12594.05,1019.31,11475.16387,44.03,6.11,39.54,6.15,31.58,4.86,24.98,11.58,214,190,190,224,196,223,237,178,634,575,635,574,447,420,453,444
Cuyahoga, Jefferson,16217.57,804.46,16548,21.72,4.04,19.61,4.24,11.7,2.44,12.88,6.89,145,131,158,137,150,150,166,156,777,893,945,1083,1001,824,829,780
Cuyahoga, Kamm's,26025.3,948.3,25170.17782,13.94,2.51,11.09,2.4,11.12,1.95,10.43,4.39,88,104,84,105,101,105,114,101,620,631,772,742,776,680,693,618
Cuyahoga, Kinsman,6971.02,730.31,6987.089868,50.59,7.48,51.71,8,29.61,6.05,26.15,19.26,142,163,137,140,108,144,97,137,393,436,386,389,396,368,331,335
Cuyahoga, Lee-Harvard,10114.32,666.3,10326,18.37,5.47,14.01,4.88,18.86,4.11,14,10.98,132,127,128,176,102,105,177,135,457,580,502,560,439,480,655,403
Cuyahoga, Lee-Seville,4660.76,445.18,4496,22.9,8.27,23.15,8.12,26.55,7.21,21.95,20.9,37,28,38,55,37,38,45,55,191,238,243,213,226,230,257,212
Cuyahoga, Mount Pleasant,16760.44,1195.56,17320,31.55,4.85,30.13,4.71,23.84,3.83,21.08,7.42,290,280,320,283,304,292,279,339,1030,1134,976,979,925,841,787,787
Cuyahoga, North Shore Collinwood,16237.24,965.81,15768,29.09,4.53,28.69,4.21,16.85,3.37,14.7,6.47,130,143,147,187,175,139,134,209,691,779,797,751,638,572,580,665
Cuyahoga, Ohio City,9066.79,838.21,8735.969203,43.35,7.8,39.28,7.5,16.36,4.1,16.66,12.86,156,183,168,187,151,137,146,130,617,742,848,646,528,599,684,707
Cuyahoga, Old Brooklyn,34115,1122.29,32009,22.43,3.12,17.85,2.63,11.62,1.98,9.52,3.58,175,185,136,176,161,173,200,187,1283,1202,1212,1220,1215,1102,1253,1054
Cuyahoga, St.Clair-Superior,6605,555.21,6876,45.51,6.75,45.03,8.15,30.6,5.31,34.19,13.68,149,157,173,148,152,166,193,145,552,545,512,491,390,424,412,309
Cuyahoga, Stockyards,9975.97,1066.11,10372.15703,47.41,6.6,47.17,7.9,24.31,4.81,23.45,11.13,175,155,189,154,147,173,154,145,646,599,677,734,592,532,578,549
Cuyahoga, Tremont,7849.97,585.98,7947.69444,41.03,5.75,37.92,6.68,10.72,2.96,10.74,12.87,77,88,71,87,80,75,75,58,527,527,526,476,409,338,434,338
Cuyahoga, Union-Miles,19968.57,1310.83,19004,34,4.4,30.54,4.64,29.08,3.86,21.72,7.01,359,338,358,384,316,337,363,320,1218,1179,1123,1167,1070,1014,926,889
Cuyahoga, University,7690.91,602.24,7920.020709,44.52,7.22,43.45,8.9,16.82,4.94,20.41,16.02,70,78,83,106,86,93,121,121,465,484,600,478,463,451,387,340
Cuyahoga, West Boulevard,19447.27,1042.17,18888,30.57,4.72,25.46,4.29,18.26,2.93,17.24,6.84,203,210,227,218,216,211,255,243,932,990,1026,972,1021,752,858,782
,,"397,972.00",,"396,815.00",,,,,,,,,,,,,,,,,,,,,,,,
